price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,calculated_host_listings_count,room_type,neighbourhood_group
65,2,17,1.65,350,4,Private room,Brooklyn
175,30,0,0.0,364,65,Entire home/apt,Manhattan
110,14,2,0.03,0,1,Private room,Manhattan
129,2,8,0.57,0,1,Entire home/apt,Brooklyn
38,1,236,4.63,56,2,Shared room,Brooklyn
61,2,111,4.46,109,1,Private room,Queens
103,2,40,2.84,248,1,Entire home/apt,Bronx
139,30,37,0.41,153,1,Entire home/apt,Manhattan
400,1,0,0.0,179,1,Entire home/apt,Manhattan
65,2,6,0.12,0,1,Private room,Brooklyn
90,14,79,1.09,336,1,Private room,Brooklyn
80,5,1,0.02,0,1,Private room,Brooklyn
105,1,19,6.71,9,1,Private room,Manhattan
60,1,20,7.59,343,5,Private room,Bronx
120,3,102,1.73,300,1,Entire home/apt,Queens
99,1,89,1.0,353,1,Private room,Manhattan
37,2,63,1.15,305,2,Private room,Bronx
160,10,0,0.0,42,1,Entire home/apt,Brooklyn
107,7,105,2.07,261,8,Entire home/apt,Queens
75,1,44,2.16,0,2,Private room,Brooklyn
85,1,15,4.17,356,3,Private room,Manhattan
120,1,0,0.0,0,1,Entire home/apt,Manhattan
190,5,0,0.0,0,3,Entire home/apt,Manhattan
365,2,1,0.07,0,4,Entire home/apt,Manhattan
60,2,6,0.26,326,3,Private room,Brooklyn
199,1,7,4.57,148,1,Entire home/apt,Manhattan
75,1,1,0.37,82,1,Private room,Brooklyn
50,1,19,0.83,311,1,Private room,Bronx
250,3,4,0.62,360,3,Entire home/apt,Brooklyn
49,4,137,3.88,279,2,Entire home/apt,Manhattan
125,1,0,0.0,33,2,Entire home/apt,Brooklyn
250,14,0,0.0,0,1,Entire home/apt,Manhattan
90,26,0,0.0,90,2,Shared room,Manhattan
95,1,3,0.47,0,2,Private room,Queens
40,1,128,4.36,145,2,Private room,Queens
149,2,121,2.06,270,2,Private room,Manhattan
165,1,4,2.61,97,1,Entire home/apt,Manhattan
250,31,8,0.19,0,1,Entire home/apt,Brooklyn
60,1,6,0.58,167,3,Private room,Queens
300,7,1,0.16,224,3,Entire home/apt,Brooklyn
250,6,1,0.05,0,1,Entire home/apt,Brooklyn
200,4,7,0.93,32,1,Entire home/apt,Manhattan
100,1,0,0.0,0,1,Private room,Brooklyn
158,2,8,0.69,0,1,Entire home/apt,Brooklyn
199,2,167,3.17,17,1,Entire home/apt,Manhattan
70,2,171,3.74,183,1,Entire home/apt,Brooklyn
325,1,66,1.33,67,1,Entire home/apt,Manhattan
169,1,11,0.47,0,1,Entire home/apt,Brooklyn
50,1,1,0.58,89,2,Private room,Queens
119,1,0,0.0,180,33,Private room,Brooklyn
75,1,20,1.27,89,1,Private room,Brooklyn
75,1,53,3.25,172,6,Shared room,Manhattan
85,9,6,0.22,10,1,Private room,Brooklyn
80,1,134,4.36,227,1,Private room,Manhattan
125,1,22,1.8,93,1,Entire home/apt,Brooklyn
50,15,0,0.0,0,1,Private room,Brooklyn
